"Table A-158: Calculated Annual National Emission Factors for Cattle by Animal Type, for 2017 (kg CH4/head/year)[1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cattle Type ,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Dairy ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calves,12,12,12,12,12,12,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Cows,124,124,125,124,125,125,124,125,126,130,132,131,132,132,131,133,134,139,139,140,142,142,144,144,145,146,147,147
Replacements 7–11 months,48,48,47,47,46,46,46,45,45,46,46,46,46,46,45,45,45,46,46,46,46,46,46,46,46,46,46,46
Replacements 12–23 months,73,72,71,71,70,69,69,69,68,70,70,69,69,69,68,67,67,70,70,70,69,69,69,69,69,69,69,69
Beef,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calves,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Bulls,91,91,93,94,94,94,94,94,95,95,94,94,94,96,96,97,97,98,98,98,98,98,98,98,98,98,98,98
Cows,89,89,91,91,91,92,92,92,92,92,91,91,91,93,93,94,94,95,95,95,95,95,95,95,95,95,95,95
Replacements 7–11 months,54,54,56,57,57,57,57,57,58,57,56,56,57,58,59,59,60,60,60,60,60,60,60,60,60,60,60,60
Replacements 12–23 months,63,63,65,66,66,66,66,66,67,67,66,66,66,68,68,68,69,70,70,70,70,70,70,70,70,70,70,70
Steer Stockers,55,55,55,56,56,57,57,57,57,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
Heifer Stockers,52,53,53,54,55,56,57,58,58,59,60,60,60,60,59,60,59,60,60,59,60,60,60,60,60,60,60,60
Feedlot Cattle,38,38,37,37,36,36,36,36,36,36,38,38,38,38,37,38,38,40,41,42,42,41,42,42,42,43,43,43
"Note: To convert to a daily emission factor, the yearly emission factor can be divided by 365 (the number of days in a year).",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1] This table has not been updated for the current (1990 through 2019) Inventory. It will be updated for the next (1990 through 2020) Inventory submission.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
