Table A-161: CH4 Emissions from Cattle (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cattle Type ,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Dairy ,"1,574","1,559","1,538","1,526","1,502","1,498","1,481","1,475","1,463","1,503","1,519","1,509","1,512","1,520","1,476","1,503","1,534","1,601","1,623","1,639","1,627","1,645","1,670","1,664","1,679","1,706","1,722","1,730","1,744","1,729"
Calves (4–6 months),62,62,60,60,59,59,58,58,57,58,59,56,56,56,54,54,55,58,58,58,57,57,58,58,58,58,58,58,58,59
Cows,"1,242","1,233","1,214","1,201","1,185","1,183","1,170","1,168","1,160","1,191","1,209","1,200","1,204","1,211","1,177","1,197","1,219","1,271","1,289","1,304","1,287","1,302","1,326","1,325","1,337","1,355","1,367","1,377","1,390","1,379"
Replacements 7–11 months,58,58,58,57,56,56,55,54,54,55,55,55,56,55,54,56,57,60,60,61,62,63,62,61,63,65,65,65,65,64
Replacements 12–23 months,212,207,207,207,202,201,198,195,192,199,196,197,197,199,191,196,203,213,216,216,222,223,224,220,221,228,232,230,231,227
Beef,"4,763","4,786","4,999","5,110","5,253","5,419","5,393","5,260","5,191","5,159","5,070","5,037","5,040","5,041","4,956","5,007","5,081","5,123","5,078","5,034","4,984","4,873","4,763","4,722","4,660","4,722","4,919","5,052","5,125","5,162"
Calves (4–6 months),182,183,185,187,192,193,190,186,185,186,186,187,186,181,180,179,177,175,171,169,169,166,161,157,156,158,164,168,169,171
Bulls,196,200,209,214,218,225,225,222,216,216,215,213,211,215,212,214,220,217,216,214,215,212,206,203,200,207,210,220,221,221
Cows,"2,884","2,895","2,995","3,053","3,165","3,222","3,238","3,160","3,123","3,104","3,058","3,041","3,023","3,057","3,037","3,056","3,079","3,089","3,070","3,010","2,976","2,927","2,868","2,806","2,754","2,774","2,856","2,954","2,978","3,000"
Replacements 7–11 months,69,71,78,83,87,85,84,79,76,75,74,74,75,76,77,80,82,82,79,78,75,74,76,78,83,89,91,90,86,83
Replacements 12–23 months,188,194,208,225,237,241,234,225,216,208,204,206,206,213,211,217,228,229,222,217,213,202,208,213,218,239,250,251,241,232
Steer Stockers,563,556,617,637,609,662,639,608,598,561,509,506,517,485,465,473,475,480,476,494,476,436,413,431,426,433,472,461,465,472
Heifer Stockers,306,303,325,344,346,375,373,366,363,351,323,322,323,305,292,299,299,296,290,301,302,283,266,267,256,263,289,286,297,306
Feedlot Cattle,375,384,382,366,400,416,411,414,414,459,502,488,499,508,482,488,521,556,554,551,560,573,565,568,567,558,587,621,667,678
Total,"6,338","6,346","6,537","6,636","6,756","6,917","6,874","6,735","6,654","6,662","6,589","6,546","6,552","6,561","6,432","6,510","6,615","6,725","6,700","6,673","6,612","6,518","6,433","6,386","6,339","6,427","6,641","6,783","6,869","6,891"
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
