Table 2-13:  Transportation-Related Greenhouse Gas Emissions (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Vehicle,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Passenger Cars,639.6,598.4,607.7,615.7,625.2,629.9,643.5,647.2,669.2,682.9,685.8,687.9,700.5,687.7,677.4,691.7,668.7,824.3,778.5,774,762.7,753.3,746.2,739.2,753,752.5,763.5,760.6,770.3,762.3
,CO2,612.2,571.6,579.2,584.4,589.4,589.8,598.6,597.7,617.2,630.7,632.1,632.8,646.1,634.7,625.4,641.4,620.1,773.5,729.9,727.8,719.9,714.8,712.8,710.7,727.4,729.1,742.7,742.5,754.3,748.3
,CH4,3.2,2.9,2.8,2.7,2.7,2.7,2.6,2.5,2.4,2.2,2,1.8,1.7,1.5,1.4,1.3,1.1,1.3,1.2,1.1,1,1,0.9,0.8,0.7,0.6,0.6,0.5,0.5,0.4
,N2O,24.1,23.8,24.5,24.9,25.7,26.3,26.6,26.7,26.7,24.6,23.7,22.5,21.3,20,18.7,17.3,15.8,18.1,16.2,15.2,14.3,13.6,12,10.6,9.1,8.1,7.1,6.1,5.1,4.4
,HFCs,0,0,1.2,3.6,7.5,11.2,15.7,20.3,22.9,25.5,28,30.7,31.5,31.6,31.9,31.7,31.7,31.5,31.2,29.9,27.5,23.9,20.6,17.2,15.8,14.7,13.2,11.4,10.4,9.3
,Light-Duty Trucks,326.7,354.9,380.8,395.3,407.7,425.2,444.8,463.6,478.3,500.8,506.7,509.6,521.9,563.6,579.4,537.7,553.3,359.4,338.4,343.5,339.6,322.6,316.1,312.1,331.9,320.9,330.2,324.3,325.7,323.1
,CO2,312.2,337.9,361.7,373.3,381.5,395,410,423.7,434.9,454.9,458.4,460,471.9,513.3,529.3,490,504.2,317.3,296.2,301.4,298.9,285,281.7,281,303.1,294.4,306,302.5,305.3,304.3
,CH4,1.7,1.9,1.9,2,1.9,1.8,1.8,1.7,1.6,1.3,1.2,1.1,1,1,0.9,0.8,0.8,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2
,N2O,12.8,15.1,17.1,18.7,19.6,20.5,21.3,22.3,22.6,22.1,21.6,20.1,19.1,18.2,16.8,13.6,14.3,7.1,6.7,6.5,6.2,5.6,4.9,4.3,3.9,3.2,2.9,2.4,2,1.7
,HFCs,0,0,0,1.4,4.6,7.8,11.7,15.8,19.2,22.6,25.6,28.4,29.8,31.1,32.4,33.3,34,34.5,35.1,35.2,34.1,31.6,29.2,26.5,24.7,23,21.1,19.2,18.1,16.9
,Medium- and Heavy-Duty Trucks,230.3,225.5,235.7,248.2,265.2,275.9,288.1,302.5,316,333.9,352.3,350.4,364.6,362.1,373.5,404.1,413.6,438,420.5,379.7,393.3,387.8,389,393.3,406.4,413.9,417.9,431.4,442.1,444.4
,CO2,229.3,224.5,234.6,247,263.7,274.1,286.1,300.1,313.3,330.9,348.9,346.8,360.7,357.8,369.1,399.4,408.7,432.1,414.2,373.2,386.6,381,382,385.8,398.7,406,409.7,422.8,433.2,435.2
,CH4,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,N2O,0.7,0.8,0.8,0.8,0.9,0.9,1,1,1.1,1.2,1.2,1.2,1.3,1.3,1.2,1.2,1.1,1.8,1.9,1.9,1.9,1.9,2,2.1,2.2,2.4,2.6,2.8,2.9,3
,HFCs,0,0,0,0.1,0.3,0.6,0.8,1.1,1.4,1.7,2,2.3,2.5,2.8,3.1,3.4,3.7,4,4.2,4.4,4.7,4.8,5,5.2,5.3,5.5,5.5,5.7,5.9,6.1
,Buses,8.5,7.8,8.1,8.8,9.3,9.2,9.6,9.8,10.1,11.3,11.1,10.3,10,10.8,15.3,12.3,12.6,18,17.5,16.2,16,16.7,17.8,17.8,19.2,19.6,19.1,20.6,22,22.2
,CO2,8.4,7.8,8.1,8.8,9.3,9.2,9.5,9.7,9.9,11.1,10.9,10,9.6,10.4,14.8,11.8,12,17.3,16.8,15.5,15.2,15.9,17,17.1,18.5,18.9,18.4,19.9,21.2,21.4
,CH4,+,+,+,+,+,+,+,+,+,+,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
,N2O,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,HFCs,0,0,0,0,+,+,+,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
,Motorcycles,1.7,1.7,1.7,1.8,1.8,1.8,1.7,1.8,1.8,1.9,1.9,1.7,1.7,1.6,1.7,1.6,1.9,4.2,4.3,4.1,3.6,3.5,4,3.8,3.8,3.7,3.9,3.8,3.8,3.6
,CO2,1.7,1.6,1.7,1.7,1.8,1.7,1.7,1.7,1.8,1.8,1.8,1.7,1.6,1.6,1.7,1.6,1.8,4.1,4.2,4,3.5,3.4,3.9,3.7,3.7,3.6,3.8,3.7,3.8,3.6
,CH4,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,N2O,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
